Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
Q7Z4H4,ADM2_HUMAN,ADM2 (Intermedin) [Cleaved into: Adrenomedullin-2 (AM2) (Intermedin-long) (IMDL); Intermedin-short (IMDS)],148,"15,865",5 out of 5,2004-05-10,Evidence at transcript level
Q9NRN7,ADPPT_HUMAN,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.-) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog),309,"35,776",5 out of 5,2005-11-08,Evidence at protein level
P54922,ADPRH_HUMAN,[Protein ADP-ribosylarginine] hydrolase (ADP-ribosylarginine hydrolase) (EC 3.2.2.19) (ADP-ribose-L-arginine cleaving enzyme),357,"39,507",3 out of 5,1996-10-01,Evidence at protein level
Q5I7T1,AG10B_HUMAN,"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-B) (Asparagine-linked glycosylation protein 10 homolog B) (Potassium channel regulator 1)",473,"55,448",5 out of 5,2005-11-08,Evidence at protein level
A6NIR3,AGAP5_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5 (AGAP-5) (Centaurin-gamma-like family member 2)",686,"75,492",2 out of 5,2008-09-02,Evidence at transcript level
Q86SQ6,AGRA1_HUMAN,Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123),560,"60,885",4 out of 5,2004-04-13,Evidence at transcript level
P35869,AHR_HUMAN,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),848,"96,147",5 out of 5,1994-06-01,Evidence at protein level
Q719I0,AHSA2_HUMAN,Activator of 90 kDa heat shock protein ATPase homolog 2,299,"33,806",2 out of 5,2008-01-15,Evidence at protein level
P53396,ACLY_HUMAN,ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme),1101,"120,839",5 out of 5,1996-10-01,Evidence at protein level
Q99798,ACON_HUMAN,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",780,"85,425",5 out of 5,1997-11-01,Evidence at protein level
Q3I5F7,ACOT6_HUMAN,Putative acyl-coenzyme A thioesterase 6 (Putative acyl-CoA thioesterase 6) (EC 3.1.2.-),207,"22,991",3 out of 5,2007-10-02,Evidence at protein level
Q9NUZ1,ACOXL_HUMAN,Acyl-coenzyme A oxidase-like protein (Acyl-CoA oxidase-like protein) (EC 1.3.3.-),547,"61,795",3 out of 5,2007-10-02,Evidence at transcript level
O14561,ACPM_HUMAN,"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",156,"17,417",5 out of 5,1999-07-15,Evidence at protein level
Q9NUB1,ACS2L_HUMAN,"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1)",689,"74,857",5 out of 5,2003-04-23,Evidence at protein level
Q9NR19,ACSA_HUMAN,"Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme)",701,"78,580",5 out of 5,2002-04-03,Evidence at protein level
Q4G176,ACSF3_HUMAN,"Acyl-CoA synthetase family member 3, mitochondrial (EC 6.2.1.-)",576,"64,130",5 out of 5,2008-01-15,Evidence at protein level
P33121,ACSL1_HUMAN,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2),698,"77,943",5 out of 5,1993-10-01,Evidence at protein level
Q08AH1,ACSM1_HUMAN,"Acyl-coenzyme A synthetase ACSM1, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 1) (Butyrate--CoA ligase 1) (Butyryl-coenzyme A synthetase 1) (Lipoate-activating enzyme) (Middle-chain acyl-CoA synthetase 1)",577,"65,273",5 out of 5,2007-10-02,Evidence at protein level
P63261,ACTG_HUMAN,"Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]",375,"41,793",5 out of 5,1986-07-21,Evidence at protein level
Q9BYD9,ACTT3_HUMAN,Actin-related protein T3 (ARP-T3) (Actin-related protein M1),372,"41,008",2 out of 5,2004-05-10,Evidence at transcript level
Q8WTP8,AEN_HUMAN,Apoptosis-enhancing nuclease (EC 3.1.-.-) (Interferon-stimulated 20 kDa exonuclease-like 1),325,"36,350",5 out of 5,2008-03-18,Evidence at protein level
Q13015,AF1Q_HUMAN,Protein AF1q,90,"10,061",5 out of 5,2000-05-30,Evidence at protein level
P42568,AF9_HUMAN,Protein AF-9 (ALL1-fused gene from chromosome 9 protein) (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein) (YEATS domain-containing protein 3),568,"63,351",5 out of 5,1995-11-01,Evidence at protein level
P06280,AGAL_HUMAN,Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase) (Agalsidase),429,"48,767",5 out of 5,1988-01-01,Evidence at protein level
Q96PE1,AGRA2_HUMAN,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),1338,"142,647",5 out of 5,2004-04-13,Evidence at protein level
O60241,AGRB2_HUMAN,Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2),1585,"172,656",5 out of 5,2000-12-01,Evidence at protein level
O60242,AGRB3_HUMAN,Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3),1522,"171,518",5 out of 5,2000-12-01,Evidence at protein level
O14862,AIM2_HUMAN,Interferon-inducible protein AIM2 (Absent in melanoma 2),343,"38,954",5 out of 5,1999-07-15,Evidence at protein level
Q12904,AIMP1_HUMAN,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)],312,"34,353",5 out of 5,2001-10-18,Evidence at protein level
Q495B1,AKD1A_HUMAN,Ankyrin repeat and death domain-containing protein 1A,522,"57,550",2 out of 5,2007-05-15,Evidence at transcript level
P31751,AKT2_HUMAN,RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),481,"55,769",5 out of 5,1993-07-01,Evidence at protein level
Q92685,ALG3_HUMAN,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3 homolog) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (Not56-like protein)",438,"50,126",5 out of 5,1998-07-15,Evidence at protein level
O43707,ACTN4_HUMAN,Alpha-actinin-4 (Non-muscle alpha-actinin 4),911,"104,854",5 out of 5,2001-02-21,Evidence at protein level
Q04771,ACVR1_HUMAN,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I),509,"57,153",5 out of 5,1994-02-01,Evidence at protein level
Q03154,ACY1_HUMAN,Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),408,"45,885",5 out of 5,1994-02-01,Evidence at protein level
P07311,ACYP1_HUMAN,"Acylphosphatase-1 (EC 3.6.1.7) (Acylphosphatase, erythrocyte isozyme) (Acylphosphatase, organ-common type isozyme) (Acylphosphate phosphohydrolase 1)",99,"11,261",5 out of 5,1988-04-01,Evidence at protein level
Q9Y3Q7,ADA18_HUMAN,"Disintegrin and metalloproteinase domain-containing protein 18 (ADAM 18) (Transmembrane metalloproteinase-like, disintegrin-like, and cysteine-rich protein III) (tMDC III)",739,"82,856",5 out of 5,2002-01-31,Evidence at transcript level
O43506,ADA20_HUMAN,Disintegrin and metalloproteinase domain-containing protein 20 (ADAM 20) (EC 3.4.24.-),726,"81,603",5 out of 5,2001-06-01,Evidence at transcript level
Q9P0K1,ADA22_HUMAN,"Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)",906,"100,433",5 out of 5,2001-06-20,Evidence at protein level
O75077,ADA23_HUMAN,"Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)",832,"91,926",5 out of 5,2004-12-07,Evidence at protein level
Q9UKQ2,ADA28_HUMAN,"Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28) (EC 3.4.24.-) (Epididymal metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (eMDC II) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein L) (MDC-L)",775,"87,148",5 out of 5,2001-06-20,Evidence at transcript level
P08913,ADA2A_HUMAN,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),450,"48,957",5 out of 5,1988-11-01,Evidence at protein level
Q8NCV1,ADAD2_HUMAN,Adenosine deaminase domain-containing protein 2 (Testis nuclear RNA-binding protein-like),583,"61,755",2 out of 5,2007-11-13,Evidence at transcript level
Q99965,ADAM2_HUMAN,Disintegrin and metalloproteinase domain-containing protein 2 (ADAM 2) (Cancer/testis antigen 15) (CT15) (Fertilin subunit beta) (PH-30) (PH30) (PH30-beta),735,"82,457",5 out of 5,2000-05-30,Evidence at transcript level
O75689,ADAP1_HUMAN,Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25),374,"43,395",5 out of 5,2005-07-05,Evidence at protein level
Q9BUB4,ADAT1_HUMAN,tRNA-specific adenosine deaminase 1 (hADAT1) (EC 3.5.4.34) (tRNA-specific adenosine-37 deaminase),502,"55,392",5 out of 5,2007-05-15,Evidence at protein level
Q7Z6V5,ADAT2_HUMAN,tRNA-specific adenosine deaminase 2 (EC 3.5.4.-) (Deaminase domain-containing protein 1) (tRNA-specific adenosine-34 deaminase subunit ADAT2),191,"21,046",4 out of 5,2007-05-15,Evidence at protein level
P28332,ADH6_HUMAN,Alcohol dehydrogenase 6 (EC 1.1.1.1),368,"39,089",5 out of 5,1992-12-01,Evidence at protein level
Q86V24,ADR2_HUMAN,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member II),386,"43,884",5 out of 5,2003-11-14,Evidence at protein level
O95433,AHSA1_HUMAN,Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38),338,"38,274",5 out of 5,2001-02-21,Evidence at protein level
O95831,AIFM1_HUMAN,"Apoptosis-inducing factor 1, mitochondrial (EC 1.1.1.-) (Programmed cell death protein 8)",613,"66,901",5 out of 5,2001-04-27,Evidence at protein level
P14550,AK1A1_HUMAN,Alcohol dehydrogenase [NADP(+)] (EC 1.1.1.2) (Aldehyde reductase) (Aldo-keto reductase family 1 member A1),325,"36,573",5 out of 5,1990-01-01,Evidence at protein level
P52895,AK1C2_HUMAN,"Aldo-keto reductase family 1 member C2 (EC 1.-.-.-) (3-alpha-HSD3) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2) (DD-2) (DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein) (DD/BABP) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20) (Type III 3-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.357)",323,"36,735",5 out of 5,1996-10-01,Evidence at protein level
Q99996,AKAP9_HUMAN,A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),3911,"453,667",5 out of 5,2001-06-01,Evidence at protein level
P47895,AL1A3_HUMAN,Aldehyde dehydrogenase family 1 member A3 (EC 1.2.1.5) (Aldehyde dehydrogenase 6) (Retinaldehyde dehydrogenase 3) (RALDH-3) (RalDH3),512,"56,108",5 out of 5,1996-02-01,Evidence at protein level
P48448,AL3B2_HUMAN,Aldehyde dehydrogenase family 3 member B2 (EC 1.2.1.5) (Aldehyde dehydrogenase 8),385,"42,635",5 out of 5,1996-02-01,Evidence at transcript level
Q6GMV1,ALG1L_HUMAN,Putative glycosyltransferase ALG1-like (EC 2.4.1.-),187,"21,132",2 out of 5,2008-03-18,Evidence at transcript level
Q6NS38,ALKB2_HUMAN,DNA oxidative demethylase ALKBH2 (EC 1.14.11.33) (Alkylated DNA repair protein alkB homolog 2) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2) (Oxy DC1),261,"29,322",5 out of 5,2006-05-30,Evidence at protein level
Q6P6C2,ALKB5_HUMAN,RNA demethylase ALKBH5 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5),394,"44,256",5 out of 5,2006-05-30,Evidence at protein level
Q8N6M5,ALLC_HUMAN,Probable allantoicase (EC 3.5.3.4) (Allantoate amidinohydrolase),410,"45,750",3 out of 5,2005-09-13,Evidence at transcript level
Q96Q42,ALS2_HUMAN,Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein),1657,"183,634",5 out of 5,2003-05-09,Evidence at protein level
Q15699,ALX1_HUMAN,ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1),326,"36,961",5 out of 5,1998-07-15,Evidence at protein level
O15204,ADEC1_HUMAN,ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1),470,"52,775",4 out of 5,2004-12-07,Evidence at protein level
Q15847,ADIRF_HUMAN,Adipogenesis regulatory factor (Adipogenesis factor rich in obesity) (Adipose most abundant gene transcript 2 protein) (Adipose-specific protein 2) (apM-2),76,"7,855",5 out of 5,2000-12-01,Evidence at protein level
Q9H2P0,ADNP_HUMAN,Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein),1102,"123,563",5 out of 5,2002-11-01,Evidence at protein level
Q16186,ADRM1_HUMAN,Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog),407,"42,153",5 out of 5,1997-11-01,Evidence at protein level
P22570,ADRO_HUMAN,"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)",491,"53,837",5 out of 5,1991-08-01,Evidence at protein level
P12235,ADT1_HUMAN,"ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)",298,"33,064",5 out of 5,1989-10-01,Evidence at protein level
P05141,ADT2_HUMAN,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]",298,"32,852",5 out of 5,1987-08-13,Evidence at protein level
Q96IZ2,ADTRP_HUMAN,Androgen-dependent TFPI-regulating protein,230,"26,842",3 out of 5,2005-05-10,Evidence at transcript level
P10109,ADX_HUMAN,"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)",184,"19,393",5 out of 5,1989-07-01,Evidence at protein level
Q8IUX7,AEBP1_HUMAN,Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein),1158,"130,929",5 out of 5,2008-05-20,Evidence at protein level
Q96SZ5,AEDO_HUMAN,2-aminoethanethiol dioxygenase (EC 1.13.11.19) (Cysteamine dioxygenase),270,"29,751",3 out of 5,2004-10-11,Evidence at protein level
Q6UXC1,AEGP_HUMAN,Apical endosomal glycoprotein (MAM domain-containing protein 4),1216,"131,499",3 out of 5,2007-05-15,Evidence at transcript level
Q5BKT4,AG10A_HUMAN,"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-A) (Asparagine-linked glycosylation protein 10 homolog A)",473,"55,606",4 out of 5,2005-11-08,Evidence at transcript level
Q5VW22,AGAP6_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6 (AGAP-6) (Centaurin-gamma-like family member 3)",663,"73,127",3 out of 5,2007-04-17,Evidence at transcript level
Q53H12,AGK_HUMAN,"Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)",422,"47,137",5 out of 5,2006-10-17,Evidence at protein level
O95394,AGM1_HUMAN,Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3),542,"59,852",5 out of 5,2001-01-24,Evidence at protein level
O95994,AGR2_HUMAN,Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog),175,"19,979",5 out of 5,2005-05-10,Evidence at protein level
Q8IVF2,AHNK2_HUMAN,Protein AHNAK2,5795,"616,629",5 out of 5,2008-02-26,Evidence at protein level
Q9GZX7,AICDA_HUMAN,Single-stranded DNA cytosine deaminase (EC 3.5.4.38) (Activation-induced cytidine deaminase) (AID) (Cytidine aminohydrolase),198,"23,954",5 out of 5,2002-10-10,Evidence at protein level
Q9NQ31,AKIP1_HUMAN,A-kinase-interacting protein 1 (Breast cancer-associated gene 3 protein) (PKA-interacting protein) (Proline-rich protein BCA3),210,"23,114",4 out of 5,2002-05-02,Evidence at protein level
Q53H80,AKIR2_HUMAN,Akirin-2,203,"22,496",4 out of 5,2005-07-19,Evidence at protein level
Q9H8T0,AKTIP_HUMAN,AKT-interacting protein (Ft1) (Fused toes protein homolog),292,"33,128",5 out of 5,2004-10-11,Evidence at protein level
O75891,AL1L1_HUMAN,Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),902,"98,829",5 out of 5,2000-05-30,Evidence at protein level
P04075,ALDOA_HUMAN,Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase),364,"39,420",5 out of 5,1986-11-01,Evidence at protein level
Q9Y615,ACL7A_HUMAN,Actin-like protein 7A (Actin-like-7-alpha),435,"48,644",5 out of 5,2003-01-27,Evidence at protein level
Q8WYK0,ACO12_HUMAN,Acyl-coenzyme A thioesterase 12 (Acyl-CoA thioesterase 12) (EC 3.1.2.1) (Acyl-CoA thioester hydrolase 12) (Cytoplasmic acetyl-CoA hydrolase 1) (CACH-1) (hCACH-1) (START domain-containing protein 15) (StARD15),555,"62,034",5 out of 5,2002-11-08,Evidence at protein level
P10323,ACRO_HUMAN,Acrosin (EC 3.4.21.10) [Cleaved into: Acrosin light chain; Acrosin heavy chain],421,"45,847",5 out of 5,1989-07-01,Evidence at transcript level
Q9UKU0,ACSL6_HUMAN,Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 6) (LACS 6),697,"77,752",5 out of 5,2001-04-27,Evidence at transcript level
P0C7M7,ACSM4_HUMAN,"Acyl-coenzyme A synthetase ACSM4, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 4)",580,"65,703",3 out of 5,2008-06-10,Evidence at transcript level
Q9H6R3,ACSS3_HUMAN,"Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acyl-CoA synthetase short-chain family member 3)",686,"74,778",4 out of 5,2008-02-26,Evidence at protein level
Q562R1,ACTBL_HUMAN,Beta-actin-like protein 2 (Kappa-actin),376,"42,003",3 out of 5,2008-02-26,Evidence at protein level
Q01718,ACTHR_HUMAN,Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R),297,"33,927",5 out of 5,1993-07-01,Evidence at protein level
Q9H568,ACTL8_HUMAN,Actin-like protein 8 (Cancer/testis antigen 57) (CT57),366,"41,360",3 out of 5,2007-05-01,Evidence at protein level
Q96EY9,ADAT3_HUMAN,Probable inactive tRNA-specific adenosine deaminase-like protein 3 (tRNA-specific adenosine-34 deaminase subunit ADAT3),351,"38,071",3 out of 5,2007-05-15,Evidence at protein level
P00813,ADA_HUMAN,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),363,"40,764",5 out of 5,1986-07-21,Evidence at protein level
Q5VUY2,ADCL4_HUMAN,Arylacetamide deacetylase-like 4 (EC 3.1.1.-),407,"46,082",3 out of 5,2006-12-12,Inferred from homology
Q08462,ADCY2_HUMAN,Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2),1091,"123,603",5 out of 5,1994-10-01,Evidence at protein level
P51828,ADCY7_HUMAN,Adenylate cyclase type 7 (EC 4.6.1.1) (ATP pyrophosphate-lyase 7) (Adenylate cyclase type VII) (Adenylyl cyclase 7),1080,"120,308",5 out of 5,1996-10-01,Evidence at transcript level
Q9UEY8,ADDG_HUMAN,Gamma-adducin (Adducin-like protein 70),706,"79,155",5 out of 5,2000-12-01,Evidence at protein level
P11766,ADHX_HUMAN,Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase class chi chain) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),374,"39,724",5 out of 5,1989-10-01,Evidence at protein level
Q9H0C2,ADT4_HUMAN,"ADP/ATP translocase 4 (ADP,ATP carrier protein 4) (Adenine nucleotide translocator 4) (ANT 4) (Solute carrier family 25 member 31) (Sperm flagellar energy carrier protein)",315,"35,022",4 out of 5,2007-08-21,Evidence at transcript level
P55198,AF17_HUMAN,Protein AF-17 (ALL1-fused gene from chromosome 17 protein),1093,"112,076",4 out of 5,1996-10-01,Evidence at protein level
Q8N4X5,AF1L2_HUMAN,Actin filament-associated protein 1-like 2 (AFAP1-like protein 2),818,"91,300",5 out of 5,2005-06-21,Evidence at protein level
P51826,AFF3_HUMAN,AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4) (Protein LAF-4),1226,"133,476",5 out of 5,1996-10-01,Evidence at protein level
Q9UHB7,AFF4_HUMAN,AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein),1163,"127,459",5 out of 5,2006-06-13,Evidence at protein level
Q5TGY3,AHDC1_HUMAN,AT-hook DNA-binding motif-containing protein 1,1603,"168,349",2 out of 5,2008-01-15,Evidence at protein level
Q09666,AHNK_HUMAN,Neuroblast differentiation-associated protein AHNAK (Desmoyokin),5890,"629,101",5 out of 5,1996-02-01,Evidence at protein level
Q9ULX6,AKP8L_HUMAN,A-kinase anchor protein 8-like (AKAP8-like protein) (Helicase A-binding protein 95) (HAP95) (Homologous to AKAP95 protein) (HA95) (Neighbor of A-kinase-anchoring protein 95) (Neighbor of AKAP95),646,"71,649",5 out of 5,2001-04-27,Evidence at protein level
P31749,AKT1_HUMAN,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha),480,"55,686",5 out of 5,1993-07-01,Evidence at protein level
Q4L235,ACSF4_HUMAN,Acyl-CoA synthetase family member 4 (EC 6.2.1.-) (Aminoadipate-semialdehyde dehydrogenase) (Protein NRPS998),1098,"122,597",5 out of 5,2008-01-15,Evidence at protein level
P35609,ACTN2_HUMAN,Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein),894,"103,854",5 out of 5,1994-06-01,Evidence at protein level
P35348,ADA1A_HUMAN,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),466,"51,487",5 out of 5,1994-06-01,Evidence at protein level
P25100,ADA1D_HUMAN,Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a),572,"60,463",5 out of 5,1992-05-01,Evidence at protein level
Q9NPF8,ADAP2_HUMAN,Arf-GAP with dual PH domain-containing protein 2 (Centaurin-alpha-2) (Cnt-a2),381,"44,349",5 out of 5,2003-01-27,Evidence at protein level
A8MUL3,ADAS1_HUMAN,Putative uncharacterized protein ADARB2-AS1 (ADARB2 antisense RNA 1) (ADARB2 antisense gene protein 1),147,"15,836",2 out of 5,2008-06-10,Uncertain
P07327,ADH1A_HUMAN,Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha),375,"39,859",5 out of 5,1988-04-01,Evidence at protein level
P00325,ADH1B_HUMAN,Alcohol dehydrogenase 1B (EC 1.1.1.1) (Alcohol dehydrogenase subunit beta),375,"39,855",5 out of 5,1986-07-21,Evidence at protein level
C9JUS6,ADM5_HUMAN,Putative adrenomedullin-5-like protein,153,"16,532",2 out of 5,2010-03-23,Evidence at transcript level
Q6ZN18,AEBP2_HUMAN,Zinc finger protein AEBP2 (Adipocyte enhancer-binding protein 2) (AE-binding protein 2),517,"54,467",5 out of 5,2008-06-10,Evidence at protein level
Q8TED9,AF1L1_HUMAN,Actin filament-associated protein 1-like 1 (AFAP1-like protein 1),768,"86,432",5 out of 5,2007-07-24,Evidence at protein level
Q6ULP2,AFTIN_HUMAN,Aftiphilin,937,"102,200",5 out of 5,2005-03-29,Evidence at protein level
Q8IZF4,AGRG5_HUMAN,Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27),528,"59,000",4 out of 5,2004-08-31,Evidence at transcript level
